,x,y
299,7.623,-6.091
300,9.55,4.72
301,10.011,-2.698
302,7.585,-6.104
303,9.952,4.51
304,20.676,7.401
305,6.146,-5.858
306,9.856,4.572
307,21.761,-4.164
308,9.652,4.702
309,10.14,-2.565
310,7.777,-6.073
311,21.859,-3.549
312,13.07,-2.54
313,9.042,5.051
314,29.027,4.967
315,13.606,-4.303
316,9.797,4.654
317,10.165,-2.57
318,8.112,-6.082
319,21.907,-3.636
320,13.093,-2.536
321,28.998,5.113
322,13.608,-4.311
323,8.957,5.205
324,9.347,4.801
325,10.497,4.761
326,7.474,8.269
327,9.765,4.652
328,8.438,-6.08
329,13.069,-2.739
330,10.177,-2.595
331,29.121,5.495
332,13.607,-4.379
333,9.707,4.68
334,8.569,-6.066
335,10.239,-2.552
336,29.061,5.192
337,13.686,-4.264
338,9.038,-6.086
339,21.95,-3.409
340,9.921,4.691
341,8.938,-6.08
342,10.203,-2.539
343,29.057,5.2
344,13.705,-4.25
345,21.983,-3.368
346,10.515,4.796
347,10.422,4.812
348,9.72,-6.103
349,10.305,-2.506
350,13.822,-4.118
351,22.023,-3.266
352,11.109,5.311
353,9.87,4.684
354,13.192,-2.416
355,9.476,4.799
356,9.449,4.808
357,10.989,5.035
358,10.324,-2.479
359,10.411,4.801
360,9.888,4.697
361,9.957,4.722
362,13.8,-4.148
363,28.981,5.552
364,12.803,8.236
365,10.309,4.773
366,10.417,-6.111
367,13.137,-2.458
368,29.01,5.239
369,12.888,8.231
370,13.715,-4.2
371,10.293,-2.511
372,13.319,-2.227
373,22.026,-3.254
374,20.665,-5.516
375,10.67,4.974
376,11.019,-6.114
377,13.21,-2.324
378,28.913,5.482
379,12.857,8.234
380,13.69,-4.192
381,21.975,-3.274
382,11.052,5.013
383,11.319,-6.134
384,13.094,-2.444
385,12.927,8.209
386,34.786,-4.179
387,11.227,5.335
388,11.695,-6.142
389,13.333,-2.256
390,13.017,8.198
391,34.847,-2.601
392,20.748,-5.338
393,28.86,5.841
394,22.032,-3.247
395,11.518,5.904
396,11.99,-6.154
397,13.337,-2.27
398,23.971,-1.96
399,25.246,-5.473
400,12.948,8.22
401,20.879,6.526
402,12.566,-6.161
403,13.439,-2.202
404,34.802,-3.243
405,12.993,-6.176
406,13.439,-2.186
407,34.937,-2.875
408,28.937,5.53
409,13.176,8.217
410,20.738,-5.49
411,23.757,-2.369
412,13.597,-2.195
413,22.193,-2.914
414,20.87,-5.285
415,28.829,5.878
416,14.352,8.502
417,34.939,-2.869
418,12.816,8.247
419,13.528,-2.169
420,22.186,-2.861
421,20.892,-5.234
422,29.172,5.473
423,14.31,8.489
424,13.641,8.523
425,34.949,-2.666
426,20.814,6.64
427,13.719,-2.224
428,15.084,8.514
429,14.388,8.522
430,22.209,-2.855
431,34.916,5.585
432,35.557,-0.902
433,20.783,6.638
434,13.815,-2.226
435,22.219,-2.833
436,14.007,-2.331
437,20.545,8.353
438,14.422,-2.95
439,50.852,4.104
440,28.679,6.243
441,14.732,-3.143
442,14.008,-2.33
443,14.381,-2.937
444,28.714,6.373
445,22.295,-2.742
446,20.705,6.835
447,35.492,-1.671
448,13.938,-2.327
449,14.265,-2.898
450,22.2,-2.994
451,35.442,-4.525
452,14.627,-3.116
453,14.875,-3.797
454,28.938,5.971
455,20.771,-5.355
456,35.559,4.385
457,26.592,8.165
458,14.102,-2.521
459,14.407,-2.941
460,22.388,-2.751
461,15.011,-3.757
462,29.333,5.062
463,35.079,5.217
464,36.775,-1.987
465,26.232,8.481
466,14.709,-3.092
467,15.136,-3.754
468,22.199,-2.79
469,28.801,6.184
470,16.081,-2.324
471,14.461,-2.942
472,29.207,8.563
473,36.619,-1.303
474,14.712,-3.117
475,15.088,-3.741
476,29.325,5.398
477,22.546,-2.831
478,25.378,-5.187
479,14.49,-2.969
480,15.479,-4.517
481,35.036,-2.3
482,14.704,-3.074
483,15.101,-3.772
484,29.452,5.198
485,15.448,-4.531
486,14.716,-3.187
487,15.088,-3.744
488,33.803,5.311
489,15.505,-4.552
490,22.191,-3.08
491,29.29,6.445
492,22.192,-3.046
493,21.017,-5.17
494,29.895,5.209
495,25.307,-5.56
496,14.573,-3.45
497,15.145,-3.835
498,15.557,-4.604
499,29.674,5.364
500,20.899,-5.133
501,21.006,-5.186
502,22.259,-3.029
503,25.413,-5.321
